bugfix_commit,filename,bic
e1f777d2da5f4c20739f603949a38807931b746b,core\camel-core-reifier\src\main\java\org\apache\camel\reifier\dataformat\CustomDataFormatReifier.java,ec41b8a9b770802b54c16af4e1161e401591f294
37ce0079af9fc91cdb3d2a16d5aec03246465a0a,components\camel-aws\camel-aws2-s3\src\main\java\org\apache\camel\component\aws2\s3\client\impl\AWS2S3ClientIAMOptimizedImpl.java,66b31fa749373ff7a3ccd83d97d900e0f536c8c3
37ce0079af9fc91cdb3d2a16d5aec03246465a0a,components\camel-aws\camel-aws2-s3\src\main\java\org\apache\camel\component\aws2\s3\client\impl\AWS2S3ClientIAMOptimizedImpl.java,8b0a0486be7f0866e8e58fef0de047b2afaefcf7
d45e254875f52d0fb7e668f39ad29539f5161536,core\camel-base-engine\src\main\java\org\apache\camel\impl\engine\AutowiredLifecycleStrategy.java,65c003958d1f0b1d19d44ded4524a65c66e2138e
fee4af512b1214a2ee9bb3a9ddfcd71187b3394b,components\camel-kubernetes\src\main\java\org\apache\camel\component\kubernetes\customresources\KubernetesCustomResourcesProducer.java,9d312b3cdebc9da07046c708ccbf7a4a864a6e23
65c003958d1f0b1d19d44ded4524a65c66e2138e,core\camel-base-engine\src\main\java\org\apache\camel\impl\engine\AutowiredLifecycleStrategy.java,6a6c39afe79844b99ef9ab5b5fac7cf69f4ac4f2
c93cad92fac1b50fc65a6f5f2c731f75726a32b9,components\camel-consul\src\main\java\org\apache\camel\component\consul\cloud\ConsulServiceDiscovery.java,4c07898ae1477504c2c1ff8bc745131561212616
c93cad92fac1b50fc65a6f5f2c731f75726a32b9,components\camel-consul\src\main\java\org\apache\camel\component\consul\cloud\ConsulServiceDiscovery.java,4ea9e6c357371682b855d2d79655b41120331b7a
864cee3219c667e0c8fc3d0de43f7b8bc055b5d4,core\camel-base-engine\src\main\java\org\apache\camel\impl\engine\DefaultFluentProducerTemplate.java,e0194d5d4bf9b7d4d3b37dae73d40b41a4dd7650
864cee3219c667e0c8fc3d0de43f7b8bc055b5d4,core\camel-base-engine\src\main\java\org\apache\camel\impl\engine\DefaultFluentProducerTemplate.java,d4cfbd3631a0b277b5228224e1855c7229062c21
